    PID TTY          TIME CMD
      3 ?        00:00:00 pool_workqueue_release
   2579 pts/0    00:00:00 ps
    440 ?        00:00:00 psimon
   1046 ?        00:00:00 psimon
     17 ?        00:00:00 rcu_preempt
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
      1 ?        00:00:01 systemd
     55 ?        00:00:00 scsi_eh_0
     57 ?        00:00:00 scsi_eh_1
    159 ?        00:00:00 scsi_eh_10
    161 ?        00:00:00 scsi_eh_11
    163 ?        00:00:00 scsi_eh_12
    165 ?        00:00:00 scsi_eh_13
    167 ?        00:00:00 scsi_eh_14
    169 ?        00:00:00 scsi_eh_15
    171 ?        00:00:00 scsi_eh_16
    173 ?        00:00:00 scsi_eh_17
    175 ?        00:00:00 scsi_eh_18
    177 ?        00:00:00 scsi_eh_19
    136 ?        00:00:00 scsi_eh_2
    179 ?        00:00:00 scsi_eh_20
    181 ?        00:00:00 scsi_eh_21
    183 ?        00:00:00 scsi_eh_22
    185 ?        00:00:00 scsi_eh_23
    187 ?        00:00:00 scsi_eh_24
    189 ?        00:00:00 scsi_eh_25
    192 ?        00:00:00 scsi_eh_26
    208 ?        00:00:00 scsi_eh_27
    210 ?        00:00:00 scsi_eh_28
    212 ?        00:00:00 scsi_eh_29
    145 ?        00:00:00 scsi_eh_3
    220 ?        00:00:00 scsi_eh_30
    222 ?        00:00:00 scsi_eh_31
    147 ?        00:00:00 scsi_eh_4
    149 ?        00:00:00 scsi_eh_5
    151 ?        00:00:00 scsi_eh_6
    153 ?        00:00:00 scsi_eh_7
    155 ?        00:00:00 scsi_eh_8
    157 ?        00:00:00 scsi_eh_9
   1578 ?        00:00:00 (sd-pam)
   2355 ?        00:00:00 snapd-desktop-i
   2407 ?        00:00:00 snapd-desktop-i
   1817 ?        00:00:00 dbus-daemon
   1610 ?        00:00:00 dbus-daemon
   2296 ?        00:00:00 gjs
   1902 ?        00:00:00 gjs
   1604 ?        00:00:00 gnome-keyring-d
   1799 ?        00:00:05 gnome-shell
   1908 ?        00:00:00 ibus-daemon
   1589 ?        00:00:00 pipewire
   1591 ?        00:00:00 pipewire
   1603 ?        00:00:00 pipewire-pulse
   1010 ?        00:00:00 unattended-upgr
   2536 ?        00:00:00 update-notifier
   1600 ?        00:00:00 wireplumber
   1020 ?        00:00:00 dbus
    775 ?        00:00:00 accounts-daemon
   1865 ?        00:00:00 at-spi2-registr
